Individual,MatchNo,Team1,Team2,Date,Time,Venue,Leg
6,211,Pharco,Future,2025-06-27,20:00,Air Defense Stadium,2
6,212,National Bank,Zamalek,2025-10-30,17:00,Air Defense Stadium,2
6,213,Future,Smouha,2025-08-14,17:00,Air Defense Stadium,1
6,214,ENPPI,Pharco,2025-12-08,17:00,Suez Stadium,1
6,215,ENPPI,Smouha,2025-10-07,17:00,Petro Sport Stadium,2
6,216,Alexandria Union,Zed,2025-11-19,17:00,Petro Sport Stadium,1
6,217,Wadi Degla,Al Ahly,2025-09-06,20:00,Alexandria Stadium,2
6,218,Future,ENPPI,2025-09-12,17:00,Cairo Stadium,1
6,219,Pharco,Pyramids,2025-11-02,20:00,Petro Sport Stadium,2
6,220,National Bank,Ceramica,2025-07-26,20:00,Borg El Arab,2
6,221,Smouha,Zed,2025-05-21,20:00,Cairo Stadium,1
6,222,Zed,Pharco,2025-05-30,17:00,Military Academy Stadium,1
6,223,Smouha,Talaea El Gaish,2025-05-29,20:00,Military Academy Stadium,1
6,224,Alexandria Union,El Dakhleya,2025-09-07,20:00,Alexandria Stadium,1
6,225,Ceramica,National Bank,2026-01-31,17:00,Al Salam Stadium,1
6,226,Zed,El Gouna,2025-08-17,17:00,Suez Stadium,2
6,227,Smouha,National Bank,2025-11-06,17:00,Zed Club Stadium,1
6,228,Future,Ceramica,2025-11-07,20:00,Petro Sport Stadium,1
6,229,Masry,Smouha,2025-11-21,17:00,El Sekka El Hadeed Stadium,1
6,230,Zamalek,El Dakhleya,2025-07-15,20:00,Alexandria Stadium,1
6,231,ENPPI,El Gouna,2025-06-29,20:00,Military Academy Stadium,1
6,232,Smouha,Modern Sport,2025-09-18,17:00,Alexandria Stadium,1
6,233,Al Ahly,Masry,2026-01-18,17:00,Al Salam Stadium,1
6,234,El Gouna,Pyramids,2025-06-13,17:00,Zed Club Stadium,2
6,235,Future,Zed,2025-08-20,20:00,Petro Sport Stadium,1
6,236,Ismaily,Pyramids,2026-01-07,17:00,Al Salam Stadium,2
6,237,National Bank,Talaea El Gaish,2025-09-19,17:00,Air Defense Stadium,1
6,238,Wadi Degla,El Dakhleya,2025-08-13,17:00,Alexandria Stadium,2
6,239,Modern Sport,Zamalek,2025-07-19,20:00,Alexandria Stadium,2
6,240,Ceramica,Talaea El Gaish,2025-08-07,17:00,Zed Club Stadium,1
6,241,Future,Zamalek,2025-09-03,17:00,Cairo Stadium,2
6,242,Wadi Degla,Alexandria Union,2025-05-14,20:00,Cairo Stadium,2
6,243,Ceramica,El Dakhleya,2025-11-13,20:00,Alexandria Stadium,1
6,244,Pharco,El Dakhleya,2025-07-06,20:00,Zed Club Stadium,2
6,245,Masry,Pharco,2025-08-18,17:00,Military Academy Stadium,1
6,246,National Bank,Zed,2025-12-13,20:00,Cairo Stadium,1
6,247,Ceramica,Wadi Degla,2025-06-29,20:00,Borg El Arab,1
6,248,Alexandria Union,Talaea El Gaish,2025-05-26,20:00,El Sekka El Hadeed Stadium,2
6,249,ENPPI,Alexandria Union,2025-11-13,17:00,El Sekka El Hadeed Stadium,1
6,250,Masry,ENPPI,2025-06-29,17:00,Alexandria Stadium,1
6,251,Wadi Degla,Zed,2025-10-01,17:00,Military Academy Stadium,2
6,252,National Bank,Pyramids,2025-11-12,20:00,Air Defense Stadium,2
6,253,Pyramids,Zamalek,2025-06-02,20:00,Petro Sport Stadium,2
6,254,Pharco,Wadi Degla,2025-10-27,20:00,El Sekka El Hadeed Stadium,1
6,255,Pyramids,El Gouna,2025-11-06,20:00,Borg El Arab,1
6,256,Future,Masry,2025-11-20,17:00,Cairo Stadium,2
6,257,Masry,Ismaily,2025-12-18,17:00,Cairo Stadium,1
6,258,Future,Alexandria Union,2025-10-14,20:00,Borg El Arab,1
6,259,Ceramica,El Gouna,2025-06-28,20:00,Military Academy Stadium,1
6,260,Wadi Degla,Zamalek,2025-07-07,20:00,Petro Sport Stadium,2
6,261,El Gouna,Ismaily,2025-09-14,17:00,Petro Sport Stadium,2
6,262,ENPPI,Modern Sport,2025-11-27,17:00,Borg El Arab,1
6,263,Pyramids,Future,2025-11-06,20:00,Air Defense Stadium,1
6,264,Ismaily,National Bank,2025-07-06,20:00,Zed Club Stadium,1
6,265,Modern Sport,Zed,2025-11-29,20:00,Petro Sport Stadium,2
6,266,Talaea El Gaish,Ismaily,2025-10-16,20:00,Al Salam Stadium,2
6,267,Masry,Talaea El Gaish,2025-05-25,20:00,Air Defense Stadium,1
6,268,Al Ahly,Zamalek,2025-09-05,17:00,Alexandria Stadium,1
6,269,Masry,Zed,2025-06-09,17:00,Borg El Arab,1
6,270,Zamalek,Zed,2025-05-20,20:00,Borg El Arab,1
6,271,Pharco,National Bank,2025-09-24,20:00,Borg El Arab,2
6,272,Masry,Modern Sport,2025-10-29,17:00,Zed Club Stadium,1
6,273,National Bank,Al Ahly,2025-07-17,20:00,Military Academy Stadium,2
6,274,Zamalek,Ceramica,2026-01-27,17:00,Air Defense Stadium,1
6,275,Smouha,El Dakhleya,2025-10-31,20:00,Borg El Arab,1
6,276,ENPPI,El Dakhleya,2025-06-20,17:00,Military Academy Stadium,1
6,277,National Bank,Future,2025-12-08,17:00,El Sekka El Hadeed Stadium,2
6,278,Al Ahly,ENPPI,2025-06-22,17:00,Borg El Arab,1
6,279,El Dakhleya,El Gouna,2025-09-01,17:00,Suez Stadium,1
6,280,Talaea El Gaish,Future,2025-07-18,20:00,Zed Club Stadium,2
6,281,Ismaily,Future,2025-06-02,17:00,Borg El Arab,2
6,282,Al Ahly,Ismaily,2026-01-05,20:00,Air Defense Stadium,1
6,283,Al Ahly,Talaea El Gaish,2026-01-28,17:00,Cairo Stadium,1
6,284,Ceramica,Smouha,2025-08-09,20:00,Zed Club Stadium,2
6,285,Zamalek,Talaea El Gaish,2025-06-03,20:00,Cairo Stadium,1
6,286,El Dakhleya,Ismaily,2025-08-25,17:00,Suez Stadium,2
6,287,Zed,Al Ahly,2025-10-09,17:00,Borg El Arab,2
6,288,Wadi Degla,ENPPI,2025-05-25,17:00,Alexandria Stadium,2
6,289,Masry,Wadi Degla,2025-09-17,17:00,Borg El Arab,1
6,290,Al Ahly,National Bank,2025-05-03,20:00,Suez Stadium,1
6,291,El Gouna,Zed,2025-05-31,17:00,Al Salam Stadium,1
6,292,Future,Al Ahly,2026-01-01,17:00,Borg El Arab,2
6,293,El Gouna,Alexandria Union,2025-07-16,17:00,El Sekka El Hadeed Stadium,2
6,294,Future,Ismaily,2025-12-25,17:00,Borg El Arab,1
6,295,Wadi Degla,Pyramids,2025-06-12,17:00,Al Salam Stadium,2
6,296,Future,Modern Sport,2025-08-16,17:00,El Sekka El Hadeed Stadium,1
6,297,Zed,National Bank,2025-10-20,20:00,Al Salam Stadium,2
6,298,El Dakhleya,Wadi Degla,2025-06-14,20:00,El Sekka El Hadeed Stadium,1
6,299,Al Ahly,Modern Sport,2025-10-23,17:00,El Sekka El Hadeed Stadium,1
6,300,Zed,Future,2025-11-29,20:00,Suez Stadium,2
6,301,Al Ahly,Ceramica,2025-09-08,20:00,Military Academy Stadium,1
6,302,Pharco,Smouha,2025-12-17,20:00,El Sekka El Hadeed Stadium,2
6,303,Smouha,Ceramica,2025-05-26,17:00,Air Defense Stadium,1
6,304,Alexandria Union,Modern Sport,2025-09-26,17:00,Al Salam Stadium,1
6,305,Talaea El Gaish,Alexandria Union,2025-09-01,20:00,Borg El Arab,1
6,306,National Bank,El Gouna,2025-05-26,20:00,El Sekka El Hadeed Stadium,1
7,1,Zamalek,Masry,2026-01-23,20:00,El Sekka El Hadeed Stadium,1
7,2,Alexandria Union,Masry,2025-09-28,20:00,Al Salam Stadium,2
7,3,Zed,Talaea El Gaish,2026-01-06,20:00,Borg El Arab,2
7,4,Smouha,Ceramica,2025-11-25,17:00,Cairo Stadium,1
7,5,Pharco,Smouha,2025-11-22,20:00,Borg El Arab,2
7,6,El Dakhleya,Modern Sport,2025-11-14,17:00,Petro Sport Stadium,1
7,7,Future,Pyramids,2025-06-29,20:00,Petro Sport Stadium,2
7,8,Al Ahly,El Gouna,2025-09-22,17:00,Air Defense Stadium,1
7,9,Pyramids,Smouha,2025-06-08,20:00,El Sekka El Hadeed Stadium,1
7,10,Talaea El Gaish,Pharco,2025-05-27,17:00,Cairo Stadium,1
7,11,Alexandria Union,ENPPI,2025-12-21,20:00,Suez Stadium,2
7,12,Pharco,Zamalek,2025-12-08,17:00,Alexandria Stadium,2
7,13,Wadi Degla,Pharco,2026-01-10,17:00,Suez Stadium,2
7,14,Zed,Future,2025-11-16,17:00,Zed Club Stadium,2
7,15,Modern Sport,Pyramids,2025-12-31,17:00,Zed Club Stadium,2
7,16,Pharco,Zed,2025-08-15,20:00,Air Defense Stadium,2
7,17,Masry,Wadi Degla,2025-11-14,17:00,Air Defense Stadium,1
7,18,El Dakhleya,Wadi Degla,2025-05-24,17:00,Al Salam Stadium,1
7,19,Alexandria Union,Wadi Degla,2025-07-24,17:00,Suez Stadium,1
7,20,Zed,Ceramica,2026-01-23,17:00,El Sekka El Hadeed Stadium,2
7,21,Al Ahly,Zed,2026-01-02,17:00,Petro Sport Stadium,1
7,22,Pyramids,Pharco,2025-11-14,17:00,Al Salam Stadium,1
7,23,Future,Zed,2025-12-26,17:00,Borg El Arab,1
7,24,El Gouna,El Dakhleya,2025-10-20,20:00,Al Salam Stadium,2
7,25,Talaea El Gaish,Ceramica,2025-09-04,17:00,Air Defense Stadium,2
7,26,Ismaily,El Gouna,2025-12-09,20:00,Petro Sport Stadium,1
7,27,National Bank,Ceramica,2025-05-19,20:00,Suez Stadium,2
7,28,Pharco,Masry,2025-09-12,20:00,Zed Club Stadium,2
7,29,Pyramids,Al Ahly,2025-12-02,17:00,Zed Club Stadium,2
7,30,Ismaily,Masry,2025-08-29,17:00,Suez Stadium,2
7,31,Smouha,El Gouna,2025-07-10,20:00,El Sekka El Hadeed Stadium,1
7,32,Future,Modern Sport,2025-08-17,20:00,El Sekka El Hadeed Stadium,1
7,33,Pyramids,Zamalek,2025-06-12,17:00,Petro Sport Stadium,2
7,34,Modern Sport,Zamalek,2025-06-14,20:00,Air Defense Stadium,2
7,35,Future,Pharco,2025-12-03,20:00,Petro Sport Stadium,1
7,36,Zed,National Bank,2025-12-04,20:00,Alexandria Stadium,2
7,37,Talaea El Gaish,Future,2025-05-19,17:00,Air Defense Stadium,2
7,38,Wadi Degla,Al Ahly,2025-11-03,17:00,Al Salam Stadium,2
7,39,Pharco,Al Ahly,2025-06-15,20:00,Alexandria Stadium,2
7,40,Pharco,Talaea El Gaish,2025-05-04,17:00,El Sekka El Hadeed Stadium,2
7,41,El Dakhleya,Zed,2025-07-23,17:00,Air Defense Stadium,1
7,42,Al Ahly,Future,2025-11-24,17:00,Petro Sport Stadium,1
7,43,Wadi Degla,El Dakhleya,2025-09-17,17:00,Borg El Arab,2
7,44,Wadi Degla,Zed,2025-07-30,20:00,Petro Sport Stadium,2
7,45,Al Ahly,Pyramids,2025-07-18,20:00,Air Defense Stadium,1
7,46,Smouha,National Bank,2025-06-01,20:00,El Sekka El Hadeed Stadium,1
7,47,Wadi Degla,Alexandria Union,2025-12-26,17:00,Petro Sport Stadium,2
7,48,Ceramica,Zamalek,2026-01-22,20:00,Borg El Arab,2
7,49,Wadi Degla,Future,2025-10-08,17:00,Cairo Stadium,2
7,50,Ceramica,Pharco,2025-11-30,20:00,Petro Sport Stadium,1
7,51,Al Ahly,Alexandria Union,2025-05-20,20:00,Air Defense Stadium,1
7,52,El Dakhleya,Talaea El Gaish,2025-09-22,17:00,Suez Stadium,2
7,53,Masry,Talaea El Gaish,2026-01-24,20:00,Al Salam Stadium,1
7,54,Smouha,Wadi Degla,2025-11-05,17:00,Cairo Stadium,1
7,55,Pharco,Future,2025-08-15,20:00,Petro Sport Stadium,2
7,56,Smouha,Zamalek,2025-11-21,17:00,Petro Sport Stadium,2
7,57,El Gouna,Zamalek,2025-11-04,17:00,Al Salam Stadium,2
7,58,Zamalek,Ismaily,2025-12-16,20:00,Military Academy Stadium,1
7,59,Masry,Future,2025-09-01,20:00,El Sekka El Hadeed Stadium,1
7,60,Talaea El Gaish,El Dakhleya,2025-09-06,20:00,Petro Sport Stadium,1
7,61,Talaea El Gaish,Ismaily,2025-12-15,17:00,Alexandria Stadium,2
7,62,National Bank,El Gouna,2025-06-06,20:00,El Sekka El Hadeed Stadium,1
7,63,Zamalek,Future,2025-09-27,20:00,Suez Stadium,1
7,64,Ceramica,National Bank,2025-06-20,17:00,Alexandria Stadium,1
7,65,Wadi Degla,Ceramica,2025-10-21,20:00,Cairo Stadium,2
7,66,ENPPI,Alexandria Union,2025-09-30,17:00,Suez Stadium,1
7,67,Wadi Degla,Smouha,2025-08-31,17:00,Al Salam Stadium,2
7,68,El Dakhleya,Alexandria Union,2026-01-02,17:00,Zed Club Stadium,2
7,69,Ismaily,Pyramids,2025-08-29,20:00,Petro Sport Stadium,2
7,70,El Gouna,Ismaily,2026-01-31,17:00,Al Salam Stadium,2
7,71,ENPPI,Pyramids,2025-10-26,20:00,Borg El Arab,2
7,72,Pyramids,Masry,2025-11-10,17:00,Cairo Stadium,1
7,73,Ismaily,Modern Sport,2025-09-06,17:00,El Sekka El Hadeed Stadium,1
7,74,National Bank,Smouha,2025-07-31,20:00,Al Salam Stadium,2
7,75,Masry,Zamalek,2025-07-03,17:00,Alexandria Stadium,2
7,76,Wadi Degla,Zamalek,2025-06-27,20:00,El Sekka El Hadeed Stadium,2
7,77,Masry,Pharco,2025-07-14,20:00,Zed Club Stadium,1
7,78,El Gouna,Pyramids,2025-05-26,20:00,Air Defense Stadium,2
7,79,National Bank,Masry,2026-01-05,20:00,Military Academy Stadium,2
7,80,Future,Al Ahly,2025-08-28,20:00,Military Academy Stadium,2
7,81,Alexandria Union,Zamalek,2025-10-16,20:00,Cairo Stadium,2
7,82,El Gouna,Wadi Degla,2025-12-19,17:00,Alexandria Stadium,1
7,83,Future,Smouha,2026-01-27,17:00,Zed Club Stadium,1
7,84,Pyramids,Zed,2025-06-19,17:00,Zed Club Stadium,1
7,85,Smouha,Ismaily,2025-11-20,17:00,Military Academy Stadium,2
7,86,Talaea El Gaish,National Bank,2025-05-10,17:00,Air Defense Stadium,2
7,87,Ismaily,Al Ahly,2025-09-22,17:00,Al Salam Stadium,2
7,88,Pharco,National Bank,2026-01-29,20:00,Borg El Arab,2
7,89,Masry,Ceramica,2025-05-04,17:00,Petro Sport Stadium,1
7,90,National Bank,El Dakhleya,2025-10-16,17:00,Military Academy Stadium,1
7,91,Pharco,El Dakhleya,2025-11-19,17:00,El Sekka El Hadeed Stadium,2
7,92,Alexandria Union,Talaea El Gaish,2025-10-20,20:00,Air Defense Stadium,2
7,93,Al Ahly,Ismaily,2025-06-23,17:00,Borg El Arab,1
7,94,Ceramica,Modern Sport,2025-05-10,20:00,Zed Club Stadium,1
7,95,Pyramids,Wadi Degla,2025-05-22,17:00,El Sekka El Hadeed Stadium,1
7,96,National Bank,Pharco,2025-07-15,20:00,Zed Club Stadium,1
7,97,Talaea El Gaish,Zamalek,2025-06-21,17:00,Air Defense Stadium,2
7,98,Alexandria Union,El Dakhleya,2026-01-25,20:00,Air Defense Stadium,1
7,99,Smouha,Future,2025-05-24,17:00,Petro Sport Stadium,2
7,100,Masry,National Bank,2025-12-22,17:00,Suez Stadium,1
7,101,ENPPI,Future,2025-06-02,17:00,Al Salam Stadium,2
7,102,ENPPI,Talaea El Gaish,2025-07-24,17:00,El Sekka El Hadeed Stadium,1
7,103,El Dakhleya,National Bank,2025-06-29,17:00,Petro Sport Stadium,2
7,104,Talaea El Gaish,Wadi Degla,2025-06-14,17:00,Military Academy Stadium,1
7,105,Zamalek,Talaea El Gaish,2025-05-28,17:00,Al Salam Stadium,1
7,106,Masry,El Dakhleya,2025-09-09,17:00,Zed Club Stadium,1
7,107,Modern Sport,Future,2026-01-13,20:00,Suez Stadium,2
7,108,El Dakhleya,Zamalek,2025-11-19,17:00,Suez Stadium,2
7,109,Zamalek,Pharco,2025-12-01,17:00,Borg El Arab,1
7,110,El Dakhleya,Ceramica,2025-06-16,20:00,Alexandria Stadium,2
7,111,ENPPI,National Bank,2025-06-07,17:00,El Sekka El Hadeed Stadium,1
7,112,Zed,Zamalek,2025-05-19,20:00,Zed Club Stadium,2
7,113,Zamalek,Smouha,2025-10-05,17:00,Alexandria Stadium,1
7,114,Ismaily,National Bank,2025-08-28,20:00,Zed Club Stadium,1
7,115,Future,Alexandria Union,2025-07-10,17:00,Air Defense Stadium,1
7,116,Alexandria Union,Ceramica,2025-12-17,20:00,Zed Club Stadium,2
7,117,Al Ahly,Talaea El Gaish,2025-06-25,17:00,Alexandria Stadium,1
7,118,Modern Sport,Wadi Degla,2025-05-05,17:00,Al Salam Stadium,1
7,119,Pyramids,Ismaily,2025-12-16,20:00,Petro Sport Stadium,1
7,120,El Dakhleya,Ismaily,2025-09-01,20:00,Suez Stadium,2
7,121,Masry,Al Ahly,2025-06-13,20:00,Suez Stadium,2
7,122,Zamalek,Al Ahly,2025-07-16,17:00,Petro Sport Stadium,2
7,123,Alexandria Union,Smouha,2026-01-27,17:00,Alexandria Stadium,2
7,124,Future,ENPPI,2025-05-19,20:00,Cairo Stadium,1
7,125,ENPPI,Wadi Degla,2026-01-24,17:00,El Sekka El Hadeed Stadium,1
7,126,Future,Wadi Degla,2025-06-04,20:00,Cairo Stadium,1
7,127,Ismaily,Zed,2026-01-20,17:00,El Sekka El Hadeed Stadium,1
7,128,Ismaily,Smouha,2025-11-11,20:00,Alexandria Stadium,1
7,129,Zamalek,Zed,2025-08-27,17:00,Air Defense Stadium,1
7,130,Alexandria Union,Pharco,2025-09-19,20:00,Petro Sport Stadium,1
7,131,Al Ahly,Smouha,2025-11-04,17:00,Cairo Stadium,1
7,132,Zamalek,Pyramids,2026-01-14,20:00,Military Academy Stadium,1
7,133,Ceramica,Smouha,2025-06-08,20:00,Zed Club Stadium,2
7,134,Al Ahly,Modern Sport,2026-01-15,17:00,Zed Club Stadium,1
7,135,El Gouna,Al Ahly,2026-01-06,17:00,Borg El Arab,2
7,136,Zamalek,El Dakhleya,2026-01-26,17:00,El Sekka El Hadeed Stadium,1
7,137,Alexandria Union,Al Ahly,2025-06-03,17:00,Military Academy Stadium,2
7,138,El Gouna,ENPPI,2025-11-20,17:00,Petro Sport Stadium,2
7,139,Modern Sport,El Dakhleya,2025-09-20,20:00,Borg El Arab,2
7,140,Ceramica,Pyramids,2025-05-04,17:00,Air Defense Stadium,2
7,141,Masry,Modern Sport,2025-12-29,20:00,Cairo Stadium,1
7,142,Zamalek,El Gouna,2025-05-27,20:00,El Sekka El Hadeed Stadium,1
7,143,National Bank,Zed,2025-08-12,17:00,Al Salam Stadium,1
7,144,Pharco,Alexandria Union,2025-11-20,20:00,Petro Sport Stadium,2
7,145,Talaea El Gaish,Modern Sport,2025-09-20,17:00,Alexandria Stadium,1
7,146,Pyramids,Ceramica,2025-12-27,20:00,Military Academy Stadium,1
7,147,Smouha,El Dakhleya,2025-08-15,20:00,Zed Club Stadium,1
7,148,Zed,Pharco,2025-08-05,17:00,Suez Stadium,1
7,149,Pyramids,Alexandria Union,2025-11-18,20:00,Zed Club Stadium,1
7,150,Al Ahly,El Dakhleya,2025-11-28,20:00,Suez Stadium,1
7,151,Talaea El Gaish,El Gouna,2025-11-23,17:00,Zed Club Stadium,1
7,152,Modern Sport,Masry,2025-08-09,17:00,Alexandria Stadium,2
7,153,Modern Sport,Ceramica,2025-07-25,17:00,Alexandria Stadium,2
7,154,Talaea El Gaish,Alexandria Union,2025-12-13,17:00,Zed Club Stadium,1
7,155,Modern Sport,Talaea El Gaish,2025-06-05,17:00,Air Defense Stadium,2
7,156,Ceramica,El Dakhleya,2025-10-09,20:00,Alexandria Stadium,1
7,157,Al Ahly,Wadi Degla,2025-10-15,20:00,Air Defense Stadium,1
7,158,Alexandria Union,Ismaily,2025-12-03,17:00,Alexandria Stadium,2
7,159,Ismaily,Pharco,2026-01-02,20:00,Military Academy Stadium,1
7,160,Ismaily,ENPPI,2025-08-12,20:00,Alexandria Stadium,1
7,161,Zed,ENPPI,2025-08-23,20:00,Petro Sport Stadium,2
7,162,Alexandria Union,El Gouna,2025-05-18,17:00,Air Defense Stadium,1
7,163,National Bank,Talaea El Gaish,2025-06-15,20:00,Petro Sport Stadium,1
7,164,Future,El Dakhleya,2025-10-01,17:00,Al Salam Stadium,1
7,165,Modern Sport,ENPPI,2025-08-16,17:00,Borg El Arab,2
7,166,Modern Sport,Pharco,2025-10-02,17:00,Alexandria Stadium,1
7,167,National Bank,Pyramids,2025-05-04,17:00,Al Salam Stadium,2
7,168,Pharco,Ceramica,2025-06-27,17:00,Alexandria Stadium,2
7,169,ENPPI,Zamalek,2025-07-15,20:00,Al Salam Stadium,2
7,170,Wadi Degla,Ismaily,2026-01-26,20:00,Zed Club Stadium,2
7,171,El Gouna,Pharco,2025-08-25,17:00,Suez Stadium,1
7,172,El Gouna,Ceramica,2025-12-02,17:00,Alexandria Stadium,2
7,173,ENPPI,Ceramica,2025-07-19,17:00,Zed Club Stadium,1
7,174,Pharco,Wadi Degla,2025-12-22,20:00,Alexandria Stadium,1
7,175,Ceramica,Ismaily,2025-10-11,20:00,Air Defense Stadium,2
7,176,Future,Talaea El Gaish,2025-07-14,17:00,Petro Sport Stadium,1
7,177,Modern Sport,Alexandria Union,2025-05-20,17:00,El Sekka El Hadeed Stadium,2
7,178,Wadi Degla,Pyramids,2025-07-15,17:00,Petro Sport Stadium,2
7,179,Alexandria Union,Modern Sport,2025-08-19,20:00,Suez Stadium,1
7,180,Ismaily,Talaea El Gaish,2026-01-28,20:00,Air Defense Stadium,1
7,181,Future,National Bank,2025-11-10,17:00,Petro Sport Stadium,1
7,182,Ismaily,Alexandria Union,2025-11-14,17:00,Military Academy Stadium,1
7,183,Smouha,Modern Sport,2025-05-24,17:00,Zed Club Stadium,1
7,184,Al Ahly,Ceramica,2025-11-05,17:00,Zed Club Stadium,1
7,185,Masry,El Gouna,2025-08-04,17:00,El Sekka El Hadeed Stadium,1
7,186,Pyramids,El Gouna,2025-07-16,17:00,Air Defense Stadium,1
7,187,Zamalek,Ceramica,2025-10-04,20:00,El Sekka El Hadeed Stadium,1
7,188,Alexandria Union,Future,2025-06-17,17:00,Military Academy Stadium,2
7,189,Ceramica,Talaea El Gaish,2025-06-30,20:00,Air Defense Stadium,1
7,190,Future,Ceramica,2025-11-20,17:00,Suez Stadium,1
7,191,El Dakhleya,ENPPI,2025-06-06,17:00,Air Defense Stadium,2
7,192,Smouha,Zed,2025-07-13,17:00,Cairo Stadium,1
7,193,Alexandria Union,National Bank,2025-12-08,20:00,Military Academy Stadium,2
7,194,Masry,Ismaily,2025-09-05,17:00,Al Salam Stadium,1
7,195,El Dakhleya,Smouha,2025-10-22,20:00,El Sekka El Hadeed Stadium,2
7,196,National Bank,Al Ahly,2025-08-07,20:00,El Sekka El Hadeed Stadium,2
7,197,Ismaily,Future,2025-09-11,17:00,Air Defense Stadium,2
7,198,Ceramica,Masry,2025-07-01,17:00,Borg El Arab,2
7,199,El Gouna,Masry,2026-01-03,17:00,Military Academy Stadium,2
7,200,Wadi Degla,Modern Sport,2025-10-01,20:00,Alexandria Stadium,2
7,201,Pharco,El Gouna,2026-01-26,20:00,Military Academy Stadium,2
7,202,Zed,Masry,2025-11-03,17:00,Military Academy Stadium,2
7,203,National Bank,ENPPI,2026-01-23,20:00,Suez Stadium,2
7,204,Pyramids,ENPPI,2025-06-28,17:00,Alexandria Stadium,1
7,205,El Dakhleya,Pyramids,2025-09-01,17:00,Al Salam Stadium,2
7,206,Zed,Smouha,2025-09-27,17:00,Suez Stadium,2
7,207,Zamalek,National Bank,2026-01-25,17:00,Air Defense Stadium,1
7,208,National Bank,Zamalek,2025-08-30,17:00,Air Defense Stadium,2
7,209,ENPPI,Zed,2025-06-02,17:00,Suez Stadium,1
7,210,Zed,El Dakhleya,2025-11-28,17:00,Suez Stadium,2
7,211,Zed,Modern Sport,2025-10-06,17:00,Military Academy Stadium,1
7,212,Zamalek,Wadi Degla,2025-07-09,20:00,Military Academy Stadium,1
7,213,Zed,Al Ahly,2025-09-24,20:00,Al Salam Stadium,2
7,214,Pyramids,Future,2025-09-19,17:00,Suez Stadium,1
7,215,El Gouna,Talaea El Gaish,2025-05-01,17:00,Zed Club Stadium,2
7,216,Future,El Gouna,2025-10-05,17:00,Cairo Stadium,1
7,217,Masry,Smouha,2025-05-08,20:00,Alexandria Stadium,1
7,218,El Gouna,Future,2025-07-13,17:00,Suez Stadium,2
7,219,Al Ahly,Pharco,2026-01-25,17:00,Alexandria Stadium,1
7,220,Al Ahly,ENPPI,2025-05-04,17:00,Alexandria Stadium,1
7,221,Zed,Wadi Degla,2025-11-21,17:00,Cairo Stadium,1
7,222,Smouha,Alexandria Union,2025-09-05,17:00,El Sekka El Hadeed Stadium,1
7,223,Ismaily,El Dakhleya,2025-11-13,17:00,Borg El Arab,1
7,224,Wadi Degla,Talaea El Gaish,2025-09-16,20:00,Suez Stadium,2
7,225,Pyramids,Talaea El Gaish,2025-05-13,17:00,Zed Club Stadium,1
7,226,Modern Sport,Smouha,2025-06-27,17:00,Air Defense Stadium,2
7,227,El Dakhleya,Masry,2025-07-03,17:00,Petro Sport Stadium,2
7,228,Zed,Alexandria Union,2025-12-08,20:00,Alexandria Stadium,2
7,229,Smouha,Al Ahly,2025-06-02,20:00,Suez Stadium,2
7,230,National Bank,Alexandria Union,2025-07-20,20:00,Suez Stadium,1
7,231,El Gouna,Alexandria Union,2025-08-07,20:00,Alexandria Stadium,2
7,232,Smouha,Masry,2026-01-16,17:00,Petro Sport Stadium,2
7,233,Wadi Degla,El Gouna,2025-06-25,20:00,El Sekka El Hadeed Stadium,2
7,234,Modern Sport,El Gouna,2025-09-25,20:00,El Sekka El Hadeed Stadium,2
7,235,Future,Masry,2025-07-29,20:00,Alexandria Stadium,2
7,236,Al Ahly,Masry,2025-08-06,17:00,Petro Sport Stadium,1
7,237,Talaea El Gaish,Masry,2025-10-29,20:00,Alexandria Stadium,2
7,238,Zed,Pyramids,2025-06-24,17:00,Cairo Stadium,2
7,239,Ismaily,Ceramica,2026-01-24,17:00,Military Academy Stadium,1
7,240,Masry,Alexandria Union,2025-06-30,17:00,Air Defense Stadium,1
7,241,Al Ahly,National Bank,2025-12-08,20:00,Borg El Arab,1
7,242,Zamalek,ENPPI,2025-07-17,20:00,Zed Club Stadium,1
7,243,Masry,ENPPI,2025-08-20,17:00,Borg El Arab,1
7,244,Zed,El Gouna,2025-05-05,20:00,Petro Sport Stadium,2
7,245,Pharco,Ismaily,2025-11-26,20:00,Military Academy Stadium,2
7,246,Masry,Zed,2025-12-22,17:00,Cairo Stadium,1
7,247,National Bank,Modern Sport,2026-01-29,20:00,Air Defense Stadium,1
7,248,Wadi Degla,ENPPI,2025-07-15,17:00,Alexandria Stadium,2
7,249,Alexandria Union,Zed,2025-07-18,20:00,Air Defense Stadium,1
7,250,Smouha,Pyramids,2025-08-05,20:00,Cairo Stadium,2
7,251,ENPPI,Pharco,2025-08-16,17:00,Al Salam Stadium,1
7,252,Al Ahly,Zamalek,2026-01-16,20:00,Al Salam Stadium,1
7,253,Modern Sport,National Bank,2025-08-04,17:00,Suez Stadium,2
7,254,Zamalek,Modern Sport,2025-10-14,20:00,Petro Sport Stadium,1
7,255,Modern Sport,Al Ahly,2025-05-23,17:00,Petro Sport Stadium,2
7,256,El Gouna,Smouha,2026-01-08,20:00,Air Defense Stadium,2
7,257,Smouha,ENPPI,2025-10-13,17:00,Petro Sport Stadium,1
7,258,ENPPI,Ismaily,2025-12-19,17:00,Alexandria Stadium,2
